Protein Accession	Assembly	Species	Lineage	Assembly BioProject Lineage Title	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value	Assembly BioSample Description Title	Assembly BioSample Sample Identifiers Database	Assembly BioSample Models	Assembly BioSample Owner Name	Assembly BioSample Package	Assembly BioSample Publication date	Assembly Level	Assembly Notes	Assembly Sequencing Tech	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Total Sequence Length	Current Accession	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length MB	Signature.accession	Combined Signature description	Total Signature Description	color three
OGL16068.1	GCA_001790335.1	Candidatus Rokubacteria bacterium RIFCSPLOWO2_12_FULL_71_22	Bacteria; Candidatus Rokuibacteriota	Terrestrial subsurface C, N, S and H cycles cross-linked by metabolic handoffs	environmental-sample	TRUE	Metagenome or environmental sample from Candidatus Rokubacteria bacterium RIFCSPLOWO2_12_FULL_71_22	Not Available	Metagenome or environmental	Banfield Lab, University of California, Berkeley	Metagenome.environmental.1.0	2016-02-22 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq2000	2459159	71.5	10.0x	3444169	GCA_001790335.1	Candidatus Rokubacteria bacterium RIFCSPLOWO2_12_FULL_71_22	1802110	3.444169	cd05931	FAAL	1	#FFFFFF
WP_015206076.1	GCF_000317535.1	Cylindrospermum stagnale	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Cylindrospermum	Cylindrospermum stagnale PCC 7417 Genome sequencing	biotic_relationship	free living	MIGS Cultured Bacterial/Archaeal sample from Cylindrospermum stagnale PCC 7417	Not Available	MIGS.ba	Joint Genome Institute	MIGS.ba.6.0	2013-07-19 0:00:00	Chromosome	Not Available	454/Illumina	3211788	42	30.0x	7610589	GCF_000317535.1	Cylindrospermum stagnale PCC 7417	56107	7.610589	cd00567-cd05235-cd05931	ACAD-FAAL-SDR_e1	3	#000000
WP_002624887.1	GCF_000335475.2	Cystobacter fuscus	Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Archangiaceae; Cystobacter	Cystobacter fuscus DSM 2262 Genome sequencing and assembly	strain	DSM 2262	Sample from Cystobacter fuscus DSM 2262	Not Available	Generic	NCBI	Generic.1.0	2013-12-19 0:00:00	Contig	Not Available	Illumina HiSeq	8428589	68.5	741.5x	12282374	GCF_000335475.2	Cystobacter fuscus DSM 2262	1242864	12.282374	cd05930-cd05931-cd19531	A_NRPS-FAAL-LCL_NRPS-like	4	#000000
BDT34836.1	No Genome	Myxococcus sp. MH1	Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	-1	-1	Not Available	-1	Not Available	Not Available	-1	Not Available	cd05930-cd05931-cd19531	A_NRPS-FAAL-LCL_NRPS-like	4	#000000
NEZ58459.1	GCA_011009555.1	Adonisia turfae CCMR0081	Bacteria; Cyanobacteriota; Adonisia; Adonisia turfae	Adonisia turfae CCMR0081 Genome sequencing and assembly	strain	CCMR0081	Microbe sample from Adonisia turfae CCMR0081	Not Available	Microbe, viral or environmental	Federal University of Rio de Janeiro	Microbe.1.0	2019-03-04 0:00:00	Scaffold	Not Available	Illumina MiSeq	4095838	47.5	150.0x	8660379	GCA_011009555.1	Adonisia turfae CCMR0081	2292702	8.660379	cd00833-cd05931	FAAL-PKS	2	#000000
WP_249268147.1	GCF_002025445.1		Bacteria; Cyanobacteriota; Cyanophyceae;Oscillatoriophycideae; Chroococcales; Microcystaceae; Microcystis.																					cd05931	FAAL	1	#FFFFFF
WP_002799844.1	GCF_000312285.1	Microcystis aeruginosa	Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Microcystaceae; Microcystis	Microcystis aeruginosa PCC 9701 Genome sequencing and assembly	ENA-CHECKLIST	ERC000011	BioSample entry for genome collection GCA_000312285	SRA	Generic	EBI	Generic.1.0	2013-12-19 0:00:00	Scaffold	Not Available	Not Available	2017388	43	Not Available	4755998	GCF_000312285.1	Microcystis aeruginosa PCC 9701	721123	4.755998	cd05931	FAAL	1	#FFFFFF
WP_264323877.1	GCF_015207035.1	Romeriopsis navalis	Bacteria; Cyanobacteriota; Cyanophyceae; Leptolyngbyales; Leptolyngbyaceae; Romeriopsis	LEGE strains genome sequencing project	strain	LEGE 11480	Microbe sample from Romeriopsis navalis LEGE 11480	Not Available	Microbe, viral or environmental	CIIMAR	Microbe.1.0	2020-10-10 0:00:00	Contig	Not Available	Illumina	3273326	50.5	30.0x	6469551	GCF_015207035.1	Romeriopsis navalis LEGE 11480	2777977	6.469551	cd05931	FAAL	1	#FFFFFF
MBW4574951.1	GCA_019359765.1	Aphanothece sp. CMT-3BRIN-NPC111	Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Aphanothecaceae; Aphanothece	Cyanobacteria Metagenome Assembled Genomes extracted from total metagenome of mixed cultures	collection_date	4/18/2010	MIMAG Metagenome-assembled Genome sample from Aphanothece sp. CMT-3BRIN-NPC111	Not Available	MIMAG.soil	University of California, Riverside	MIMAG.soil.6.0	2021-07-28 18:39:23	Contig	derived from metagenome	Illumina MiSeq	2353314	46	31.7x	5125873	GCA_019359765.1	Aphanothece sp. CMT-3BRIN-NPC111	2839655	5.125873	cd05931	FAAL	1	#FFFFFF
EDX72645.1	GCA_000155555.1	Coleofasciculus chthonoplastes PCC 7420	Bacteria; Cyanobacteriota; Cyanophyceae; Coleofasciculales; Coleofasciculaceae; Coleofasciculus	Salt marsh cyanobacteria	strain	PCC 7420	Generic sample from Coleofasciculus chthonoplastes PCC 7420	Not Available	Generic	NCBI	Generic.1.0	2013-12-04 14:26:26	Scaffold	Not Available	Not Available	3930361	45.5	Not Available	8679041	GCA_000155555.1	Coleofasciculus chthonoplastes PCC 7420	118168	8.679041	cd05931	FAAL	1	#FFFFFF
WP_142654637.1	GCF_006937785.1	Pseudanabaena sp. UWO311	Bacteria; Cyanobacteriota; Cyanophyceae; Pseudanabaenales; Pseudanabaenaceae; Pseudanabaena	Pseudanabaena sp. UWO311 Genome sequencing and assembly	strain	UWO311	Pseudanabaena sp. UWO311 lake water isolate	Not Available	Microbe, viral or environmental	Western University	Microbe.1.0	2019-07-14 6:38:15	Contig	Not Available	Illumina MiSeq	2187601	42	126.1x	5211636	GCF_006937785.1	Pseudanabaena sp. UWO311	2487337	5.211636	cd05931	FAAL	1	#FFFFFF
MCL1489462.1	GCA_023336205.1	Pseudanabaena sp. Salubria-1	Bacteria; Cyanobacteriota; Cyanophyceae; Pseudanabaenales; Pseudanabaenaceae; Pseudanabaena	Lake Salubria Metagenomic Assembly	isolation_source	surface water of freshwater lake during cyanobacterial bloom	MIMAG Metagenome-assembled Genome sample from Pseudanabaena	Not Available	MIMAG.water	University of Tennessee	MIMAG.water.6.0	2022-05-10 0:00:00	Contig	derived from metagenome	Oxford Nanopore MinION; Illumina NextSeq	2992913	42	191.0x	7138199	GCA_023336205.1	Pseudanabaena sp. Salubria-1	2938918	7.138199	cd05931	FAAL	1	#FFFFFF
WP_103669557.1	GCF_002914585.1	Pseudanabaena sp. BC1403	Bacteria; Cyanobacteriota; Cyanophyceae; Pseudanabaenales; Pseudanabaenaceae; Pseudanabaena	Pseudanabaena sp. BC1403 Genome sequencing and assembly	strain	BC1403	MIGS Cultured Bacterial/Archaeal sample from Pseudanabaena sp. BC1403	Not Available	MIGS.ba,MIGS/MIMS/MIMARKS.water	University of Bristol	MIGS.ba.water.6.0	2017-10-05 0:00:00	Contig	Not Available	Illumina HiSeq	2316967	42	349.8x	5509651	GCF_002914585.1	Pseudanabaena sp. BC1403	2043171	5.509651	cd05931	FAAL	1	#FFFFFF
WP_094534058.1	GCF_002251945.1	Pseudanabaena sp. SR411	Bacteria; Cyanobacteriota; Cyanophyceae; Pseudanabaenales; Pseudanabaenaceae; Pseudanabaena	Pseudanabaena genome sequencing	strain	SR411	Microbe sample from Pseudanabaena sp. SR411	Not Available	Microbe, viral or environmental	Bucknell University	Microbe.1.0	2017-04-18 0:00:00	Contig	Not Available	Illumina HiSeq	2437377	42	16.0x	5780027	GCF_002251945.1	Pseudanabaena sp. SR411	1980935	5.780027	cd05931	FAAL	1	#FFFFFF
MCA2808069.1	GCF_020246325.1	Microcystis sp. M095S1	Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Microcystaceae; Microcystis	Microcystis and its microbiome Genome sequencing and assembly	isolate	M095S1	M095S1	Not Available	MIMAG.water	Universite de Montreal	MIMAG.water.6.0	2021-10-01 0:51:55	Contig	derived from metagenome	Illumina HiSeq	1917752	42.5	892.8x	4506948	GCF_020246325.1	Microcystis sp. M095S1	2771136	4.506948	cd05931	FAAL	1	#FFFFFF
MBD1213547.1	GCA_014654715.1	Dolichospermum circinale Clear-D4	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Aphanizomenonaceae; Dolichospermum; Dolichospermum circinale	Metagenomes from enrichment cultures of two cyanobacterial species in the order Nostocales. Metagenomic assembly	isolation_source	Dolichospermum enrichment culture inoculated with lake water from cyanobacterial bloom	MIMAG Metagenome-assembled Genome sample from Dolichospermum circinale Clear-D4	Not Available	MIMAG	University of Southern California	MIMAG.6.0	2020-08-26 0:00:00	Scaffold	derived from metagenome	Illumina NextSeq	1854998	37	0.9x	5029933	GCA_014654715.1	Dolichospermum circinale Clear-D4	2766971	5.029933	cd05931	FAAL	1	#FFFFFF
WP_168358099.1	GCF_009712075.2	Dolichospermum planctonicum	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Aphanizomenonaceae; Dolichospermum	Dolichospermum planctonicum UHCC 0167 Genome sequencing and assembly	strain	UHCC 0167	Dolichospermum planctonicum UHCC 0167	Not Available	Microbe, viral or environmental	University of Helsinki	Microbe.1.0	2020-04-17 0:00:00	Scaffold	Not Available	Illumina HiSeq; Sanger	1773811	37.5	210.0x	4900416	GCF_009712075.2	Dolichospermum planctonicum UHCC 0167	2590027	4.900416	cd05931	FAAL	1	#FFFFFF
MCE2719015.1	GCA_021300315.1	Anabaena sp. 49628_E55	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Anabaena	lake water metagenome Metagenome	collection_date	9/29/2014	MIMAG Metagenome-assembled Genome sample from Anabaena sp. 49628_E55	Not Available	MIMAG.water	University of Michigan	MIMAG.water.6.0	2021-12-08 0:00:00	Scaffold	derived from metagenome	Illumina HiSeq	1817278	37.5	106.0x	4873444	GCA_021300315.1	Anabaena sp. 49628_E55	2904988	4.873444	cd05931	FAAL	1	#FFFFFF
MBG0744341.1	GCF_015708265.1	Cylindrospermopsis raciborskii KL1	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Aphanizomenonaceae; Cylindrospermopsis	freshwater metagenome Genome sequencing and assembly	isolate	KL1	MIMAG Metagenome-assembled Genome sample from Cylindrospermopsis raciborskii KL1	Not Available	MIMAG.water	University of Tennessee	MIMAG.water.6.0	2020-11-30 0:00:00	Scaffold	derived from metagenome	Illumina NextSeq	1464636	40	264.0x	3657391	GCF_015708265.1	Cylindrospermopsis raciborskii KL1	2787621	3.657391	cd05931	FAAL	1	#FFFFFF
WP_193963433.1	GCF_015207865.1	Dolichospermum sp. LEGE 00246	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Aphanizomenonaceae; Dolichospermum	LEGE strains genome sequencing project	strain	LEGE 00246	Microbe sample from Dolichospermum sp. LEGE 00246	Not Available	Microbe, viral or environmental	CIIMAR	Microbe.1.0	2020-10-10 0:00:00	Contig	Not Available	Illumina	2213379	39	30.0x	5708300	GCF_015207865.1	Dolichospermum sp. LEGE 00246	1828605	5.7083	cd05931	FAAL	1	#FFFFFF
MBI1240912.1	GCA_016124525.1	Nostoc sp. RI_552	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Nostoc	Raoul Island thermal springs	collection_date	3/31/2016	Metagenome-assembled genome RI_552 from Raoul Island thermal springs	Not Available	MIMAG	GNS Science	MIMAG.6.0	2020-09-01 0:00:00	Contig	derived from metagenome	Illumina HiSeq	1712314	41	11.4x	4195139	GCA_016124525.1	Nostoc sp. RI_552	2654185	4.195139	cd05931	FAAL	1	#FFFFFF
MCE2671951.1	GCF_021300285.1	Microcystis sp. 49638_E5	Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Microcystaceae; Microcystis	lake water metagenome Metagenome	collection_date	10/27/2014	MIMAG Metagenome-assembled Genome sample from Microcystis sp. 49638_E5	Not Available	MIMAG.water	University of Michigan	MIMAG.water.6.0	2021-12-08 0:00:00	Scaffold	derived from metagenome	Illumina HiSeq	2027836	43	57.0x	4742130	GCF_021300285.1	Microcystis sp. 49638_E5	2904986	4.74213	cd05931	FAAL	1	#FFFFFF
MBL1209089.1	GCF_016743215.1	Geminocystis sp. GBBB08	Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Geminocystaceae; Geminocystis	Cyanobacteria from Chapada das Mesas National Park	isolate	GBBB08	Geminocystis sp. GBBB08	Not Available	Microbe, viral or environmental	Instituto de Quimica	Microbe.1.0	2021-01-23 18:38:38	Scaffold	derived from metagenome	Illumina MiSeq	1342824	32.5	9.0x	4101793	GCF_016743215.1	Geminocystis sp. GBBB08	2604140	4.101793	cd05931	FAAL	1	#FFFFFF
WP_007312133.1	GCF_000235665.1	Crocosphaera watsonii	Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Aphanothecaceae; Crocosphaera	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	-1	-1	Not Available	-1	Not Available	Not Available	-1	Not Available	cd05931	FAAL	1	#FFFFFF
CCQ57121.1	GCA_001050835.1	Crocosphaera watsonii WH 0005	Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Aphanothecaceae; Crocosphaera	Genome sequence of Crocosphaera watsonii strain WH0005	Alias	CAQL	CAQL	SRA	Generic	EBI	Generic.1.0	2014-11-29 0:00:00	Contig	Not Available	Not Available	2245085	37.5	Not Available	5961117	GCA_001050835.1	Crocosphaera watsonii WH 0005	423472	5.961117	cd05931	FAAL	1	#FFFFFF
MCH2245935.1	GCF_022448125.1	Crocosphaera sp.	Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Aphanothecaceae; Crocosphaera	Meta-genomic and -transcriptomic samples from the HOE Legacy 2 expedition	collection_date	2015-07-28/2015-07-29	ALOHA HOE Legacy 2 Particle Associated MAG ZT-Crocosphaera-2 from 150m	Not Available	MIMAG.water	SCOPE	MIMAG.water.6.0	2022-02-16 0:00:00	Scaffold	derived from metagenome	Illumina NextSeq	2096334	37.5	99.6x	5559087	GCF_022448125.1	Crocosphaera sp.	2729996	5.559087	cd05931	FAAL	1	#FFFFFF
WP_048753162.1	GCF_001050835.1	Crocosphaera watsonii	Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Aphanothecaceae; Crocosphaera	Genome sequence of Crocosphaera watsonii strain WH0005	Alias	CAQL	CAQL	SRA	Generic	EBI	Generic.1.0	2014-11-29 0:00:00	Contig	Not Available	Not Available	2245085	37.5	Not Available	5961117	GCF_001050835.1	Crocosphaera watsonii WH 0005	423472	5.961117	cd05931	FAAL	1	#FFFFFF
CCQ63885.1	GCA_001039615.1	Crocosphaera watsonii WH 0401	Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Aphanothecaceae; Crocosphaera	Genome sequence of Crocosphaera watsonii strain WH0401	Alias	CAQM	CAQM	SRA	Generic	EBI	Generic.1.0	2014-11-29 0:00:00	Contig	Not Available	Not Available	1713289	37.5	27.0x	4549724	GCA_001039615.1	Crocosphaera watsonii WH 0401	555881	4.549724	cd05931	FAAL	1	#FFFFFF
WP_082152153.1	GCF_963865605.1	Crocosphaera watsonii	Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Aphanothecaceae; Crocosphaera	Transmission and hedge balance of virus-encoded cholera toxin genes in global habitats	ENA-CHECKLIST	ERC000011	GCF_001039555.1	SRA	Generic	EBI	Generic.1.0	2024-02-29 0:00:00	Contig	Not Available	not collected	1762303	37.5	95.0x	4683052	GCF_963865605.1	Crocosphaera watsonii WH 8502	423474	4.683052	cd05931	FAAL	1	#FFFFFF
WP_268742481.1	GCF_000167195.1		Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae;Chroococcales; Aphanothecaceae; Crocosphaera																					cd05931	FAAL	1	#FFFFFF
EAM49186.1	GCA_000167195.1	Crocosphaera watsonii WH 8501	Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Aphanothecaceae; Crocosphaera	Marine nitrogen-fixing bacterium	strain	WH 8501	Generic sample from Crocosphaera watsonii WH 8501	Not Available	Generic	NCBI	Generic.1.0	2013-12-11 0:00:00	Scaffold	Not Available	Not Available	2315003	37	Not Available	6238156	GCA_000167195.1	Crocosphaera watsonii WH 8501	165597	6.238156	cd05931	FAAL	1	#FFFFFF
MBD1852478.1	GCA_014695325.1	Cyanobacteria bacterium FACHB-502	Bacteria; Cyanobacteriota	Genome sequencing and assembly of 163 cyanobacterial strains	strain	FACHB-502	Microbe sample from Cyanobacteria bacterium FACHB-502	Not Available	Microbe, viral or environmental	South China Normal University	Microbe.1.0	2020-09-18 0:00:00	Contig	genus undefined	Illumina HiSeq	3345578	50.5	50.0x	6597207	GCA_014695325.1	Cyanobacteria bacterium FACHB-502	2692765	6.597207	cd00567-cd05235-cd05931	ACAD-FAAL-SDR_e1	3	#000000
MBD3305670.1	GCA_014729605.1	candidate division KSB3 bacterium	Bacteria; candidate division KSB3	Novel microbial dark matter shaping Shark Bay microbialites	isolate	Rbin_158	KSB3 (Modulibacteria)	Not Available	MIMAG.microbial	University of New South Wales	MIMAG.microbial.6.0	2020-09-01 0:00:00	Contig	derived from metagenome,genus undefined	Illumina NextSeq	2796823	53.5	7.1x	5218099	GCA_014729605.1	candidate division KSB3 bacterium	2044937	5.218099	cd00833-cd05931	FAAL-PKS	2	#000000
WP_228035193.1	GCF_015207605.1	Oculatella sp. LEGE 06141	Bacteria; Cyanobacteriota; Cyanophyceae; Oculatellales; Oculatellaceae; Oculatella	LEGE strains genome sequencing project	strain	LEGE 06141	Microbe sample from Oculatella sp. LEGE 06141	Not Available	Microbe, viral or environmental	CIIMAR	Microbe.1.0	2020-10-10 0:00:00	Contig	Not Available	Illumina	3690940	50.5	30.0x	7314991	GCF_015207605.1	Oculatella sp. LEGE 06141	1828648	7.314991	cd05931	FAAL	1	#FFFFFF
WP_106289123.1	GCF_003003775.1	Merismopedia glauca	Bacteria; Cyanobacteriota; Cyanophyceae; Synechococcales; Merismopediaceae; Merismopedia	Cyanobacterial and plastid evolution	sample_type	pure culture	Microbe sample from Merismopedia glauca CCAP 1448/3	Not Available	Microbe, viral or environmental	Massachusetts Institute of Technology	Microbe.1.0	2018-02-27 0:00:00	Contig	Not Available	Illumina MiSeq	2171830	41.5	6.5x	5204926	GCF_003003775.1	Merismopedia glauca CCAP 1448/3	1296344	5.204926	cd05931	FAAL	1	#FFFFFF
WP_190775740.1	GCF_014696095.1	Leptolyngbya sp. FACHB-16	Bacteria; Cyanobacteriota; Cyanophyceae; Leptolyngbyales; Leptolyngbyaceae; Leptolyngbya group; Leptolyngbya	Genome sequencing and assembly of 163 cyanobacterial strains	strain	FACHB-16	Microbe sample from Leptolyngbya sp. FACHB-16	Not Available	Microbe, viral or environmental	South China Normal University	Microbe.1.0	2020-09-18 0:00:00	Contig	Not Available	Illumina HiSeq	4028810	50.5	50.0x	8006770	GCF_014696095.1	Leptolyngbya sp. FACHB-16	2692800	8.00677	cd00833-cd05931-cd08955-cd12115-cd19531	A_NRPS_Sfm_like-FAAL-KR_2_FAS_SDR_x-LCL_NRPS-like-PKS	6	#000000
RCJ39570.1	GCA_003326215.1	Nostoc minutum NIES-26	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Nostoc	Nostoc minutum NIES-26 from xenic culture. Genome sequencing and assembly	collected_by	Ishikawa, Masako	Microbe sample from Nostoc minutum NIES-26	Not Available	Microbe, viral or environmental	Okinawa Institute of Science and Technology	Microbe.1.0	2016-05-05 0:00:00	Contig	derived from metagenome	Illumina MiSeq	4117038	42	269.0x	9839803	GCA_003326215.1	Nostoc minutum NIES-26	1844469	9.839803	cd00833-cd05931-cd12115-cd19531	A_NRPS_Sfm_like-FAAL-LCL_NRPS-like-PKS	5	#000000
